Statement,Sentiment,Intensity
A meteoroid hit the outer pane. The crack is small but terrifying.,Negative,-0.9
Another holiday spent in orbit. It never gets easier.,Negative,-0.6
Another sleepless night. The glare from the moon is too bright through the port.,Negative,-0.3
Ate lunch while looking at the Andes. Not a bad office view.,Positive,0.9
Battery arrays are charging at 105% efficiency today.,Positive,0.6
"Capcom, thanks for the music uplink. It really boosted morale in the hab.",Positive,0.5
Celebrating a crew birthday with freeze-dried cake. We made the best of it.,Positive,0.6
CO2 scrubbers are saturating faster than expected. I’m feeling lightheaded.,Negative,-0.95
Communication lag is making this procedure nearly impossible.,Negative,-0.5
Coolant leak in the main rack. Everything is getting soaked.,Negative,-0.8
Docking confirmed. The latching mechanism engaged perfectly on the first try.,Positive,0.7
"Every time I look out the window, I feel a deep sense of dread.",Negative,-0.5
Everything feels weightless and effortless today. I love this environment.,Positive,0.7
Finally finished my two-hour workout. Feeling strong.,Positive,0.5
Got a surprise call from my wife on the comms. My heart is finally full.,Positive,0.95
Ground control sent up photos from home. I can't stop smiling.,Positive,0.9
"Ground control, the habitat pressure is fluctuating. It's making it hard to sleep.",Negative,-0.65
Hydraulic pressure is fluctuating wildly in the landing gear.,Negative,-0.9
I can see my home state passing below. It's beautiful and painful at once.,Positive,0.4
I can see the plasma fire outside the window. It's terrifyingly beautiful.,Positive,0.5
I can't get the smell of burnt metal out of the airlock.,Negative,-0.3
I can't stop thinking about the distance between me and my family right now.,Negative,-0.75
I can't wait to feel the wind on my face again.,Negative,-0.7
I dropped the torque wrench and watched it drift into the dark. I feel so stupid.,Negative,-0.6
"I feel a deep sense of purpose, but the cost of being here is high.",Positive,0.2
I feel like a ghost haunting a high-tech machine. The isolation is deep.,Negative,-0.8
I feel like a ghost watching the world go by without me.,Negative,-0.85
I feel like a lab rat in a very expensive cage.,Negative,-0.7
I feel like a spectator in my own life. Everything is so clinical.,Negative,-0.5
I feel like I'm losing the ability to talk about anything but the mission.,Negative,-0.5
I feel like I'm forgetting what a breeze feels like on my face.,Negative,-0.4
I feel like I'm losing my sense of time. One day bleeds into the next.,Negative,-0.4
I feel so disconnected. The delay in the video calls makes it worse.,Negative,-0.8
I feel so small in the face of this infinite darkness.,Negative,-0.4
I finally finished the repairs. My hands are sore but I feel proud.,Positive,0.7
I had a nightmare about the airlock opening. I'm on edge.,Negative,-0.9
I have a pounding headache from the CO2 buildup in the sleep station.,Negative,-0.65
I haven't felt the sun on my skin in 200 days. It's depressing.,Negative,-0.7
I just want to walk on grass. Just for five minutes.,Negative,-0.7
I keep checking the calendar. Three months is still a very long time.,Negative,-0.5
I managed to do a backflip today without hitting anything!,Positive,0.9
I missed my daughter's birthday today. It's hard to be this far away.,Negative,-0.85
I think I have a stress fracture in my foot. Walking is painful.,Negative,-0.7
I'd give anything for a home-cooked meal that doesn't come out of a pouch.,Negative,-0.4
I'm counting the orbits until I can finally go home.,Negative,-0.4
I'm dreaming of rain every single night now.,Negative,-0.6
I'm finding it harder to focus on the checklists today. Brain fog.,Negative,-0.5
I'm staring at the Pacific and imagining I'm sitting on the beach.,Positive,0.3
I'm struggling to remember what the air feels like when it's not recycled.,Negative,-0.4
I'm tired of being a pioneer. I just want to sit in a park.,Negative,-0.7
I'm worried about the structural integrity of the airlock seal.,Negative,-0.85
I'm worried I won't remember how to walk once I get back.,Negative,-0.3
I'm covered in bruises from bumping into the bulkheads.,Negative,-0.3
